footnote_id,source_name,source_type,url,retrieval_date,finding_category,api_key_required,notes
12,Investors.Blackbaud - Sale announcement,Web,https://investor.blackbaud.com/news-releases/news-release-details/blackbaud-announces-sale-everfi,2026-06-30,financials,"NO, public","Official investor relations announcement of EVERFI sale; CEO Mike Gianoni quote"
13,American Prospect - Consumer Protections,Web,https://prospect.org/education/consumer-protections-dwindle-schools-push-financial-literacy/,2026-06-30,business_model,"NO, public","Critical analysis of bank-sponsored financial literacy: schools as marketing vehicles; conflict of interest in curriculum content"
14,SouthEast Bank Press Release,Web,https://www.prnewswire.com/news-releases/southeast-bank-sponsors-financial-literacy-curriculum-for-tennessee-schools-through-everfi-302538967.html,2026-06-30,business_model,"NO, public","Example of bank sponsorship model: SouthEast Bank pays for EverFi curriculum in 30 Tennessee high schools"
15,Oklahoma Collegian - OSU effectiveness doubts,Web,https://www.ocolly.com/news/experts-doubt-effectiveness-of-osu-s-sexual-assault-prevention-training/article_87edac1a-27f7-11e4-bac5-001a4bcf6878.html,2026-06-30,risk_flags,"NO, public","Experts question effectiveness of Haven online sexual assault prevention training as compliance checkbox"
16,Crunchbase - EverFi funding,Web,https://www.crunchbase.com/organization/everfi,2026-06-30,financials,"NO, public","Total funding $251M; investors include TPG The Rise Fund NEA Bezos Expeditions Tomorrow Ventures Allen & Co Bono"
17,Vector Solutions acquisition,Web,https://technical.ly/startups/everfi-acquired-blackbaud/,2026-06-30,financials,"NO, public","Higher education division sold to Vector Solutions July 2021 for $100M before full Blackbaud acquisition"
18,Capital One - EverFi partnership,Web,https://www.capitalone.com/bank/everfi/,2026-06-30,business_model,"NO, public","Capital One partners with EverFi for branded Modern Money financial literacy curriculum"
19,Yahoo Finance - Blackbaud EVERFI divestiture,Web,https://finance.yahoo.com/news/blackbaud-divests-everfi-amid-slow-140100853.html,2026-06-30,financials,"NO, public","26% drop in EVERFI segment revenue cited; divestiture context from financial coverage"
20,Delaware Secretary of State via Enigma KYB,MCP/API,https://enigma.com,2026-06-30,corporate_structure,YES - subscription,"Formation date January 17 2008; file number 4489432; registered agent Corporation Service Company 251 Little Falls Dr Wilmington DE 19808"
21,OpenCorporates - EVERFI Delaware record,API,https://opencorporates.com/companies/us_de/4489432,2026-06-30,corporate_structure,YES - free for journalism (register at opencorporates.com/api_accounts/new),"API endpoint: GET /v0.4/companies/us_de/4489432?api_token=TOKEN; returns company_number 4489432 jurisdiction us_de name EVERFI INC. incorporation_date 2008-01-17; CAPTCHA blocks unauthenticated web access; API returns JSON with officers/filings arrays"
22,OpenCorporates - EVERFI Florida record,API,https://opencorporates.com/companies/us_fl/F18000005152,2026-06-30,corporate_structure,YES - free for journalism (register at opencorporates.com/api_accounts/new),"API endpoint: GET /v0.4/companies/us_fl/F18000005152?api_token=TOKEN; Florida file F18000005152; EIN/FEI 26-1818856; incorporated 2018-11-09; covers 46 jurisdictions globally; includes officer filings history"
23,Tracers.com Combined Business Search (documented),API,https://www.tracers.com/searches-reports/,2026-06-30,corporate_structure,YES - paid subscription required,"Search by FEIN 26-1818856 or business name EVERFI INC; returns DBA/FBN records + FEIN/Tax ID records + Corporate Records + UCC filings + domain names at registered addresses + asset and court records for company and officers; authentication via account credentials; no public API key mechanism"
24,OpenCorporates API Documentation,Reference,https://api.opencorporates.com/documentation/API-Reference,2026-06-30,methodology,YES - free tier 200 req/month,"Base URL: api.opencorporates.com; auth: ?api_token=YOUR_TOKEN; key endpoints: /v0.4/companies/search?q= and /v0.4/companies/{jurisdiction}/{number} and /v0.4/officers/search?q=; journalism/nonprofit access free with application; paid tiers from £2250/year"
25,Tracers.com API Overview,Reference,https://www.tracers.com/api/,2026-06-30,methodology,YES - paid subscription,"42+ billion records; Combined Business Search covers DBA/FBN + FEIN/Tax ID + Corporate Records; also: UCC liens/judgments/bankruptcies + property records + court records + address history; batch processing available; no public endpoint documentation — contact sales for API credentials"
26,Web search - EverFi EIN discovery,Web,https://www.flcompanyregistry.com/companies/everfi-inc/,2026-06-30,corporate_structure,"NO, public","EverFi Inc EIN/FEI: 26-1818856; Florida document number F18000005152; 2 directors; incorporated November 9 2018 in Florida as foreign corporation"
27,GovInfo API — search for EverFi,API,https://api.govinfo.gov/search,2026-06-30,government_connections,YES - free API key (register at api.govinfo.gov),"POST /search with X-Api-Key header; query: EverFi; returned 98773 total results; top relevant: Federal Reserve financial literacy publications (GOVPUB-FR series) and Treasury Dept financial literacy reform report (GOVPUB-T-PURL-gpo190018 2019); most results are false positives (tokenizer matches 'ever' + 'fi' separately); no EverFi-specific congressional hearing found"
28,GovInfo — Federal Reserve Board of Governors financial literacy publication,API,https://api.govinfo.gov/packages/GOVPUB-FR-PURL-gpo87783/pdf,2026-06-30,government_connections,YES - free API key,"GOVPUB-FR-PURL-gpo87783; 'Building Financial Capability in Youth Employment Programs' (2014); Federal Reserve Board of Governors; policy document on K-12/youth financial literacy — the federal policy framework within which EverFi's financial literacy curriculum operates"
29,GovInfo — Congressional hearing on NOAA sexual harassment (2020),API,https://api.govinfo.gov/packages/CHRG-116hhrg40379/granules/CHRG-116hhrg40379/pdf,2026-06-30,government_connections,YES - free API key,"CHRG-116hhrg40379; 'Oversight Hearing on Examining Opportunities to Improve Prevention and Response of Sexual Assault and Sexual Harassment at NOAA' (2020-02-27); House of Representatives; relevant context: EverFi sold Haven (sexual harassment prevention training) to federal agencies and universities — same policy space as this oversight hearing"
30,GovInfo — Senate confirmation hearing for Gina Raimondo (2021),API,https://api.govinfo.gov/packages/CHRG-117shrg53058/granules/CHRG-117shrg53058/pdf,2026-06-30,government_connections,YES - free API key,"CHRG-117shrg53058; Nomination of Gina Raimondo as Secretary of Commerce (2021-01-26); Senate Commerce Committee; Raimondo served as RI Governor 2015-2019 during which EverFi operated in RI public schools — documents the state-level education policy environment EverFi navigated"
31,SBIR API — EverFi award search,API,https://api.www.sbir.gov/public/api/awards?firm=EverFi,2026-06-30,government_connections,NO - public endpoint,"GET /public/api/awards?firm=EverFi returned {'message':'Forbidden'}; no SBIR/STTR awards confirmed for EverFi; expected: EverFi was VC-funded ($251M total from TPG NEA Bezos Allen & Co) — private capital model rather than government R&D grant recipients; SBIR awards go to small businesses with government R&D contracts which is not EverFi's model"
